Started job at 2024-02-07 09:25:58.301338
apnea_matrix length: 359, non_apnea_matrix length = 359, matrix length = 29743
apnea_matrix length: 236, non_apnea_matrix length = 236, matrix length = 30215
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 30215
apnea_matrix length: 1670, non_apnea_matrix length = 273, matrix length = 32158
apnea_matrix length: 57, non_apnea_matrix length = 57, matrix length = 32272
apnea_matrix length: 17, non_apnea_matrix length = 17, matrix length = 32306
apnea_matrix length: 588, non_apnea_matrix length = 588, matrix length = 33482
apnea_matrix length: 346, non_apnea_matrix length = 346, matrix length = 34174
apnea_matrix length: 202, non_apnea_matrix length = 202, matrix length = 34578
apnea_matrix length: 85, non_apnea_matrix length = 85, matrix length = 34748
apnea_matrix length: 101, non_apnea_matrix length = 101, matrix length = 34950
apnea_matrix length: 199, non_apnea_matrix length = 199, matrix length = 35348
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 35348
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 35348
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 35348
apnea_matrix length: 143, non_apnea_matrix length = 143, matrix length = 35634
apnea_matrix length: 83, non_apnea_matrix length = 83, matrix length = 35800
apnea_matrix length: 1085, non_apnea_matrix length = 1085, matrix length = 37970
apnea_matrix length: 400, non_apnea_matrix length = 400, matrix length = 38770
apnea_matrix length: 198, non_apnea_matrix length = 198, matrix length = 39166
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 39166
apnea_matrix length: 335, non_apnea_matrix length = 335, matrix length = 39836
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 39840
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 39840
apnea_matrix length: 21, non_apnea_matrix length = 21, matrix length = 39882
apnea_matrix length: 22, non_apnea_matrix length = 22, matrix length = 39926
apnea_matrix length: 82, non_apnea_matrix length = 82, matrix length = 40090
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 40090
apnea_matrix length: 38, non_apnea_matrix length = 38, matrix length = 40166
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 40166
apnea_matrix length: 7, non_apnea_matrix length = 7, matrix length = 40180
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 40180
Failed to load data
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 40180
apnea_matrix length: 222, non_apnea_matrix length = 222, matrix length = 40624
apnea_matrix length: 45, non_apnea_matrix length = 45, matrix length = 40714
apnea_matrix length: 140, non_apnea_matrix length = 140, matrix length = 40994
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 40998
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 41010
apnea_matrix length: 34, non_apnea_matrix length = 34, matrix length = 41078
apnea_matrix length: 203, non_apnea_matrix length = 203, matrix length = 41484
apnea_matrix length: 565, non_apnea_matrix length = 565, matrix length = 42614
apnea_matrix length: 98, non_apnea_matrix length = 98, matrix length = 42810
apnea_matrix length: 627, non_apnea_matrix length = 627, matrix length = 44064
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 44064
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 44082
apnea_matrix length: 21, non_apnea_matrix length = 21, matrix length = 44124
apnea_matrix length: 93, non_apnea_matrix length = 93, matrix length = 44310
apnea_matrix length: 116, non_apnea_matrix length = 116, matrix length = 44542
apnea_matrix length: 173, non_apnea_matrix length = 173, matrix length = 44888
apnea_matrix length: 110, non_apnea_matrix length = 110, matrix length = 45108
apnea_matrix length: 36, non_apnea_matrix length = 36, matrix length = 45180
apnea_matrix length: 88, non_apnea_matrix length = 88, matrix length = 45356
apnea_matrix length: 58, non_apnea_matrix length = 58, matrix length = 45472
apnea_matrix length: 114, non_apnea_matrix length = 114, matrix length = 45700
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 45706
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 45712
apnea_matrix length: 91, non_apnea_matrix length = 91, matrix length = 45894
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 45900
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 45904
apnea_matrix length: 10, non_apnea_matrix length = 10, matrix length = 45924
apnea_matrix length: 25, non_apnea_matrix length = 25, matrix length = 45974
apnea_matrix length: 142, non_apnea_matrix length = 142, matrix length = 46258
apnea_matrix length: 361, non_apnea_matrix length = 361, matrix length = 46980
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 46980
apnea_matrix length: 5, non_apnea_matrix length = 5, matrix length = 46990
apnea_matrix length: 24, non_apnea_matrix length = 24, matrix length = 47038
apnea_matrix length: 18, non_apnea_matrix length = 18, matrix length = 47074
apnea_matrix length: 273, non_apnea_matrix length = 273, matrix length = 47620
apnea_matrix length: 39, non_apnea_matrix length = 39, matrix length = 47698
apnea_matrix length: 52, non_apnea_matrix length = 52, matrix length = 47802
apnea_matrix length: 31, non_apnea_matrix length = 31, matrix length = 47864
apnea_matrix length: 534, non_apnea_matrix length = 534, matrix length = 48932
apnea_matrix length: 63, non_apnea_matrix length = 63, matrix length = 49058
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 49064
apnea_matrix length: 5, non_apnea_matrix length = 5, matrix length = 49074
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 49086
apnea_matrix length: 25, non_apnea_matrix length = 25, matrix length = 49136
apnea_matrix length: 15, non_apnea_matrix length = 15, matrix length = 49166
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 49166
apnea_matrix length: 1049, non_apnea_matrix length = 1049, matrix length = 51264
apnea_matrix length: 121, non_apnea_matrix length = 121, matrix length = 51506
apnea_matrix length: 8, non_apnea_matrix length = 8, matrix length = 51522
